001  00001 |Loss: 1.792 | Acc: 0.000% 
001  00002 |Loss: 1.528 | Acc: 25.000% 
001  00003 |Loss: 1.979 | Acc: 16.000% 
001  00004 |Loss: 2.011 | Acc: 25.000% 
001  00005 |Loss: 2.394 | Acc: 25.000% 
001  00006 |Loss: 2.647 | Acc: 20.000% 
001  00007 |Loss: 2.730 | Acc: 17.000% 
001  00008 |Loss: 2.926 | Acc: 15.000% 
001  00009 |Loss: 3.108 | Acc: 16.000% 
001  00010 |Loss: 3.048 | Acc: 17.000% 
001  00011 |Loss: 3.151 | Acc: 18.000% 
001  00012 |Loss: 3.023 | Acc: 20.000% 
001  00013 |Loss: 3.022 | Acc: 21.000% 
001  00014 |Loss: 2.984 | Acc: 23.000% 
001  00015 |Loss: 2.884 | Acc: 25.000% 
001  00016 |Loss: 2.830 | Acc: 26.000% 
001  00017 |Loss: 2.799 | Acc: 27.000% 
001  00018 |Loss: 2.937 | Acc: 26.000% 
001  00019 |Loss: 3.040 | Acc: 26.000% 
001  00020 |Loss: 3.073 | Acc: 25.000% 
001  00021 |Loss: 3.063 | Acc: 25.000% 
001  00022 |Loss: 2.990 | Acc: 26.000% 
001  00023 |Loss: 3.037 | Acc: 26.000% 
001  00024 |Loss: 3.003 | Acc: 25.000% 
001  00025 |Loss: 3.009 | Acc: 25.000% 
001  00026 |Loss: 3.061 | Acc: 25.000% 
001  00027 |Loss: 2.998 | Acc: 26.000% 
001  00028 |Loss: 2.958 | Acc: 27.000% 
001  00029 |Loss: 3.132 | Acc: 27.000% 
001  00030 |Loss: 3.121 | Acc: 27.000% 
001  00031 |Loss: 3.216 | Acc: 26.000% 
001  00032 |Loss: 3.269 | Acc: 26.000% 
001  00033 |Loss: 3.290 | Acc: 25.000% 
001  00034 |Loss: 3.309 | Acc: 25.000% 
001  00035 |Loss: 3.437 | Acc: 24.000% 
001  00036 |Loss: 3.446 | Acc: 23.000% 
001  00037 |Loss: 3.503 | Acc: 23.000% 
001  00038 |Loss: 3.586 | Acc: 23.000% 
001  00039 |Loss: 3.566 | Acc: 23.000% 
001  00040 |Loss: 3.525 | Acc: 23.000% 
001  00041 |Loss: 3.489 | Acc: 23.000% 
001  00042 |Loss: 3.458 | Acc: 23.000% 
001  00043 |Loss: 3.429 | Acc: 23.000% 
001  00044 |Loss: 3.502 | Acc: 23.000% 
001  00045 |Loss: 3.472 | Acc: 23.000% 
001  00046 |Loss: 3.439 | Acc: 23.000% 
001  00047 |Loss: 3.434 | Acc: 23.000% 
001  00048 |Loss: 3.390 | Acc: 23.000% 
001  00049 |Loss: 3.435 | Acc: 23.000% 
001  00050 |Loss: 3.404 | Acc: 24.000% 
001  00051 |Loss: 3.358 | Acc: 25.000% 
001  00052 |Loss: 3.417 | Acc: 24.000% 
001  00053 |Loss: 3.414 | Acc: 24.000% 
001  00054 |Loss: 3.428 | Acc: 23.000% 
001  00055 |Loss: 3.382 | Acc: 24.000% 
001  00056 |Loss: 3.356 | Acc: 23.000% 
001  00057 |Loss: 3.341 | Acc: 24.000% 
001  00058 |Loss: 3.346 | Acc: 23.000% 
001  00059 |Loss: 3.331 | Acc: 23.000% 
001  00060 |Loss: 3.320 | Acc: 23.000% 
001  00061 |Loss: 3.313 | Acc: 23.000% 
001  00062 |Loss: 3.324 | Acc: 23.000% 
001  00063 |Loss: 3.300 | Acc: 24.000% 
001  00064 |Loss: 3.325 | Acc: 23.000% 
001  00065 |Loss: 3.336 | Acc: 23.000% 
001  00066 |Loss: 3.305 | Acc: 24.000% 
001  00067 |Loss: 3.288 | Acc: 24.000% 
001  00068 |Loss: 3.264 | Acc: 24.000% 
001  00069 |Loss: 3.229 | Acc: 25.000% 
001  00070 |Loss: 3.207 | Acc: 25.000% 
001  00071 |Loss: 3.215 | Acc: 25.000% 
001  00072 |Loss: 3.190 | Acc: 25.000% 
001  00073 |Loss: 3.179 | Acc: 25.000% 
001  00074 |Loss: 3.145 | Acc: 25.000% 
001  00075 |Loss: 3.168 | Acc: 25.000% 
001  00076 |Loss: 3.184 | Acc: 25.000% 
001  00077 |Loss: 3.184 | Acc: 25.000% 
001  00078 |Loss: 3.176 | Acc: 25.000% 
001  00079 |Loss: 3.162 | Acc: 25.000% 
001  00080 |Loss: 3.151 | Acc: 24.000% 
001  00081 |Loss: 3.129 | Acc: 24.000% 
001  00082 |Loss: 3.129 | Acc: 24.000% 
001  00083 |Loss: 3.132 | Acc: 24.000% 
001  00084 |Loss: 3.138 | Acc: 24.000% 
001  00085 |Loss: 3.123 | Acc: 24.000% 
001  00086 |Loss: 3.112 | Acc: 24.000% 
001  00087 |Loss: 3.106 | Acc: 23.000% 
001  00088 |Loss: 3.099 | Acc: 24.000% 
001  00089 |Loss: 3.079 | Acc: 24.000% 
001  00090 |Loss: 3.072 | Acc: 24.000% 
001  00091 |Loss: 3.076 | Acc: 24.000% 
001  00092 |Loss: 3.063 | Acc: 24.000% 
001  00093 |Loss: 3.047 | Acc: 24.000% 
001  00094 |Loss: 3.035 | Acc: 25.000% 
001  00095 |Loss: 3.022 | Acc: 25.000% 
001  00096 |Loss: 3.012 | Acc: 25.000% 
001  00097 |Loss: 2.996 | Acc: 25.000% 
001  00098 |Loss: 2.978 | Acc: 25.000% 
001  00099 |Loss: 2.973 | Acc: 25.000% 
001  00100 |Loss: 2.966 | Acc: 25.000% 
001  00101 |Loss: 2.957 | Acc: 25.000% 
001  00102 |Loss: 2.937 | Acc: 25.000% 
001  00103 |Loss: 2.916 | Acc: 26.000% 
001  00104 |Loss: 2.910 | Acc: 26.000% 
001  00105 |Loss: 2.900 | Acc: 26.000% 
001  00106 |Loss: 2.895 | Acc: 26.000% 
001  00107 |Loss: 2.886 | Acc: 26.000% 
001  00108 |Loss: 2.871 | Acc: 26.000% 
001  00109 |Loss: 2.856 | Acc: 26.000% 
001  00110 |Loss: 2.838 | Acc: 27.000% 
001  00111 |Loss: 2.821 | Acc: 27.000% 
001  00112 |Loss: 2.808 | Acc: 27.000% 
001  00113 |Loss: 2.805 | Acc: 27.000% 
001  00114 |Loss: 2.799 | Acc: 27.000% 
001  00115 |Loss: 2.788 | Acc: 27.000% 
001  00116 |Loss: 2.779 | Acc: 27.000% 
001  00117 |Loss: 2.776 | Acc: 27.000% 
001  00118 |Loss: 2.768 | Acc: 27.000% 
001  00119 |Loss: 2.759 | Acc: 27.000% 
001  00120 |Loss: 2.741 | Acc: 28.000% 
001  00121 |Loss: 2.738 | Acc: 28.000% 
001  00122 |Loss: 2.724 | Acc: 28.000% 
001  00123 |Loss: 2.719 | Acc: 28.000% 
001  00124 |Loss: 2.710 | Acc: 28.000% 
001  00125 |Loss: 2.700 | Acc: 28.000% 
001  00126 |Loss: 2.699 | Acc: 28.000% 
001  00127 |Loss: 2.690 | Acc: 28.000% 
001  00128 |Loss: 2.685 | Acc: 28.000% 
001  00129 |Loss: 2.678 | Acc: 28.000% 
001  00130 |Loss: 2.678 | Acc: 28.000% 
001  00131 |Loss: 2.670 | Acc: 28.000% 
001  00132 |Loss: 2.660 | Acc: 28.000% 
001  00133 |Loss: 2.660 | Acc: 28.000% 
001  00134 |Loss: 2.651 | Acc: 28.000% 
001  00135 |Loss: 2.640 | Acc: 28.000% 
001  00136 |Loss: 2.637 | Acc: 28.000% 
001  00137 |Loss: 2.630 | Acc: 28.000% 
001  00138 |Loss: 2.622 | Acc: 28.000% 
001  00139 |Loss: 2.616 | Acc: 28.000% 
001  00140 |Loss: 2.608 | Acc: 28.000% 
001  00141 |Loss: 2.602 | Acc: 28.000% 
001  00142 |Loss: 2.598 | Acc: 28.000% 
001  00143 |Loss: 2.592 | Acc: 28.000% 
001  00144 |Loss: 2.584 | Acc: 28.000% 
001  00145 |Loss: 2.581 | Acc: 28.000% 
001  00146 |Loss: 2.573 | Acc: 28.000% 
001  00147 |Loss: 2.567 | Acc: 28.000% 
001  00148 |Loss: 2.559 | Acc: 28.000% 
001  00149 |Loss: 2.550 | Acc: 28.000% 
001  00150 |Loss: 2.545 | Acc: 28.000% 
001  00151 |Loss: 2.541 | Acc: 28.000% 
001  00152 |Loss: 2.537 | Acc: 28.000% 
001  00153 |Loss: 2.537 | Acc: 28.000% 
001  00154 |Loss: 2.530 | Acc: 28.000% 
001  00155 |Loss: 2.526 | Acc: 28.000% 
001  00156 |Loss: 2.519 | Acc: 28.000% 
001  00157 |Loss: 2.521 | Acc: 28.000% 
001  00158 |Loss: 2.520 | Acc: 27.000% 
001  00159 |Loss: 2.515 | Acc: 27.000% 
001  00160 |Loss: 2.511 | Acc: 27.000% 
001  00161 |Loss: 2.504 | Acc: 27.000% 
001  00162 |Loss: 2.500 | Acc: 27.000% 
001  00163 |Loss: 2.498 | Acc: 27.000% 
001  00164 |Loss: 2.495 | Acc: 27.000% 
001  00165 |Loss: 2.494 | Acc: 27.000% 
001  00166 |Loss: 2.489 | Acc: 27.000% 
001  00167 |Loss: 2.491 | Acc: 27.000% 
001  00168 |Loss: 2.484 | Acc: 27.000% 
001  00169 |Loss: 2.477 | Acc: 27.000% 
001  00170 |Loss: 2.481 | Acc: 27.000% 
001  00171 |Loss: 2.475 | Acc: 27.000% 
001  00172 |Loss: 2.471 | Acc: 27.000% 
001  00173 |Loss: 2.471 | Acc: 27.000% 
001  00174 |Loss: 2.463 | Acc: 27.000% 
001  00175 |Loss: 2.457 | Acc: 27.000% 
001  00176 |Loss: 2.453 | Acc: 27.000% 
001  00177 |Loss: 2.447 | Acc: 27.000% 
001  00178 |Loss: 2.439 | Acc: 27.000% 
001  00179 |Loss: 2.437 | Acc: 27.000% 
001  00180 |Loss: 2.431 | Acc: 27.000% 
001  00181 |Loss: 2.427 | Acc: 27.000% 
001  00182 |Loss: 2.421 | Acc: 28.000% 
001  00183 |Loss: 2.415 | Acc: 28.000% 
001  00184 |Loss: 2.415 | Acc: 28.000% 
001  00185 |Loss: 2.413 | Acc: 28.000% 
001  00186 |Loss: 2.408 | Acc: 28.000% 
001  00187 |Loss: 2.402 | Acc: 28.000% 
001  00188 |Loss: 2.398 | Acc: 28.000% 
001  00189 |Loss: 2.398 | Acc: 28.000% 
001  00190 |Loss: 2.395 | Acc: 28.000% 
001  00191 |Loss: 2.391 | Acc: 28.000% 
001  00192 |Loss: 2.393 | Acc: 28.000% 
001  00193 |Loss: 2.390 | Acc: 28.000% 
001  00194 |Loss: 2.383 | Acc: 28.000% 
001  00195 |Loss: 2.380 | Acc: 28.000% 
001  00196 |Loss: 2.378 | Acc: 28.000% 
001  00197 |Loss: 2.373 | Acc: 28.000% 
001  00198 |Loss: 2.366 | Acc: 28.000% 
001  00199 |Loss: 2.361 | Acc: 28.000% 
001  00200 |Loss: 2.361 | Acc: 28.000% 
001  00201 |Loss: 2.364 | Acc: 28.000% 
001  00202 |Loss: 2.361 | Acc: 28.000% 
001  00203 |Loss: 2.357 | Acc: 28.000% 
001  00204 |Loss: 2.350 | Acc: 28.000% 
001  00205 |Loss: 2.355 | Acc: 28.000% 
001  00206 |Loss: 2.355 | Acc: 28.000% 
001  00207 |Loss: 2.351 | Acc: 28.000% 
001  00208 |Loss: 2.348 | Acc: 28.000% 
001  00209 |Loss: 2.342 | Acc: 28.000% 
001  00210 |Loss: 2.339 | Acc: 28.000% 
001  00211 |Loss: 2.341 | Acc: 28.000% 
001  00212 |Loss: 2.337 | Acc: 28.000% 
001  00213 |Loss: 2.333 | Acc: 28.000% 
001  00214 |Loss: 2.330 | Acc: 28.000% 
001  00215 |Loss: 2.330 | Acc: 28.000% 
001  00216 |Loss: 2.329 | Acc: 28.000% 
001  00217 |Loss: 2.326 | Acc: 28.000% 
001  00218 |Loss: 2.323 | Acc: 28.000% 
001  00219 |Loss: 2.320 | Acc: 28.000% 
001  00220 |Loss: 2.316 | Acc: 28.000% 
001  00221 |Loss: 2.312 | Acc: 28.000% 
001  00222 |Loss: 2.307 | Acc: 28.000% 
001  00223 |Loss: 2.305 | Acc: 28.000% 
001  00224 |Loss: 2.302 | Acc: 28.000% 
001  00225 |Loss: 2.296 | Acc: 29.000% 
001  00226 |Loss: 2.294 | Acc: 29.000% 
001  00227 |Loss: 2.289 | Acc: 29.000% 
001  00228 |Loss: 2.283 | Acc: 29.000% 
001  00229 |Loss: 2.281 | Acc: 29.000% 
